Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bosnia and Herzegovina,BIH,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.76,,,40.77,,,47.5,,,,72.29,,,
Bosnia and Herzegovina,BIH,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.15,,,38.18,,,39.42,,,,57.58,,,
Bosnia and Herzegovina,BIH,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17,,,60.61,,,66.39,,,,84.01,,,
Bosnia and Herzegovina,BIH,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.85,,,63.02,,,69.26,,,,90.08,,,
Bosnia and Herzegovina,BIH,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,,,34.39,,,37.58,,,,61.03,,,
Bosnia and Herzegovina,BIH,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6869822915574,,,,,,,,34.0845087819838,,,,,,,,,
Bosnia and Herzegovina,BIH,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8732832462018,,,,,,,,32.4514950229931,,,,,,,,,
Bosnia and Herzegovina,BIH,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0115604199101,,,,,,,,13.8021734611054,,,,,,,,,
Bosnia and Herzegovina,BIH,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85632128031341,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.419024199248753,5.332556516768847,2.7248497799910183,10.955280486286668,1.4635900396445294,7.858759751490879,5.211804726541544,7.001716048905138,-3.1346079660160626,-2.094501237117456,-2.230962941038598,-3.2213555928912854,2.481579920203771,1.02191160834397,5.217463129256302,5.22512390213079,3.6945888418630375,4.976228511781613,4.222730353955924,-3.349607041950051,8.971352849466044,,,
Bosnia and Herzegovina,BIH,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9219116607.58396,9442129269.278378,9945636148.94902,10216639793.672363,11335901339.342754,11501812462.249306,12405712270.724518,13052273769.21128,13966156916.457182,13528372649.207611,13245020716.7081,12949529212.985456,12532378829.42986,12843379825.98486,12974627815.330309,13651574237.7534,14364885906.267382,14895609378.106691,15636848938.983654,16297150905.532352,15751260391.163414,17164361539.092869,,,
Bosnia and Herzegovina,BIH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985182521.264557,1489390433.65266,2463943098.26335,3226756666.571,4649875476.51298,5070554394.32684,5631026981.73441,5777820181.54258,6555171074.05399,8071204498.54688,10029396326.9266,10546623715.0,11936344029.0819,14295558331.2204,17606291614.8243,16126383337.2918,15168863155.3543,16092078643.2573,14592410156.4508,15507728910.414,15593049846.6468,13651574237.7534,14233488159.6441,15210641700.781,16997318008.6282,17078344259.9393,16824320768.6584,19531593962.1873,,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9370754422803171,5.117163111032738,2.9578816075206475,11.961035251595844,2.565635368471902,8.740604692637888,6.518568737024523,8.787452459519415,-1.4431185956261885,-0.3395101243721399,-0.4104584969061022,-1.3310658049954895,4.163297078528629,2.3263328277999733,6.601646497682893,6.604835262085047,5.035001242914007,6.26811488817016,5.514543634407048,-1.996703257483901,10.799638958075803,,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.255800519779,2259.186347369761,2374.792597746854,2445.03615121237,2737.487787173144,2807.721742048456,3053.133600390158,3252.1542127647817,3537.935718121744,3486.879109872228,3475.040802269596,3460.7772020257257,3414.711980102481,3556.876584210256,3639.6213718330687,3879.896308655605,4136.157068182026,4344.412627973867,4616.725402711442,4871.316739524719,4774.05099950427,5289.631271125141,,,
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.4492800432696,400.8517774563054,635.8159193670157,803.0299598730983,1137.0679091067102,1227.6464799395785,1353.686773078232,1382.4395006081152,1565.2263475647792,1931.592694008596,2421.982084688167,2574.549429231296,2937.6187538225104,3561.9357265069425,4460.062158857329,4156.5050457039215,3979.791313003034,4300.627303573656,3976.011135474793,4294.747845433455,4374.136837039532,3879.896308655605,4098.323024668882,4436.294092243317,5018.39917585716,5104.8201467267845,5099.284970658879,6019.15369598799,,,
Bosnia and Herzegovina,BIH,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24220227484421,3.17115127457687,2.6011044465376,4.08155582131644,3.73956383184291,3.4494037307077,4.25051357992988,4.25124875366294,4.09856724944081,3.50956072454647,3.09449744662645,3.22994741005033,3.31324957500048,2.99415318395331,2.81119863073218,3.10867673201775,3.41174908465196,3.76768951037989,3.92994153421908,3.83434712189494,3.50741900932332,4.17987761890293,4.73695578465873,4.73338839332455,4.41264784583044,4.26028030001763,4.24947173524422,4.11312595244778,,,
Bosnia and Herzegovina,BIH,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290458847.805178,274630395.235477,213933179.685968,187895114.906183,46274047.1597357,51517665.9288509,66693496.8723506,140561293.004203,184202052.629481,186740598.978067,259120093.161583,267038131.001167,293424222.187854,312461566.017372,343512119.786161,377611165.723643,439221054.228519,486478841.493554,557151481.890228,568643855.327464,595570580.022693,708125902.111853,682298237.498813,706309697.521648,656243045.383736,682242737.052213,802264128.172785,848619676.594567,885439666.480347,859211848.307576,842985775.181357,947003024.995083,,,
Bosnia and Herzegovina,BIH,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56463313616172,7.23030667379578,3.85163067724565,4.31192051634461,4.40791066068606,5.20148892193567,6.64008377465171,7.2894921856622,7.8961389714474,8.88573342843141,9.18802474984054,9.36957025622189,9.57510839339058,11.7112798879926,10.7517761188383,11.7071222096582,12.8234746970297,13.9745908899044,15.6835848063239,15.6090768552039,16.4924704876563,16.1419278442426,15.7604179931802,14.9934237578218,15.166770112379,15.2637808335954,15.142137780354,15.0955615923725,,,
Bosnia and Herzegovina,BIH,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104331254.413033,117461606.694702,98757556.1866692,148494630.391522,217123233.622036,281593351.399538,404793231.202157,457882491.004472,565299602.269614,791110455.175094,1019938750.28278,1095390697.62327,1269324603.44366,1902805074.52028,2130894605.62327,2141484522.82745,2238524602.40212,2626482291.94446,2722911315.052,2875285414.1027,3085764498.04013,2634697481.0822,2669228630.3129,2688077411.59634,3043356356.33793,3078394006.64341,3003810249.82651,3475590744.6668,,,
Bosnia and Herzegovina,BIH,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026886244964228,1.01642600858754,0.0055696044217974,0.0055865920091926,0.0095951624254141,0.0017118070518237,0.0168863666558814,0.055439834449731,0.0177570581607756,0.0164767740827585,0.125416532431711,0.0787839804614045,0.0801728048948025,0.105973630663453,0.306474027316053,0.0995160902323603,0.186657140119524,0.246659749993467,0.110428295695569,0.0514150467138928,0.0342330862638445,0.0261163818425156,0.0314883208032492,0.0407444347386291,0.0434298030572453,0.0294234699513077,0.0247446332541281,0.0409789332692792,,,
Bosnia and Herzegovina,BIH,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226060.75742324,4369306.74526571,2291747.26064148,207563.692216519,29327.5823927704,16512582.0302581,142807.18161081,192391.977637046,472634.963207335,92672.2121121071,1029427.81354549,3482400.26220871,1271261.55606717,1466952.42991656,13922163.341519,9210586.71413974,10628110.8890952,17218200.2411625,60740090.2281787,18203633.9237225,32583727.128838,46358957.5249254,19172048.9648599,9470959.44579065,6405058.74061611,4262735.28908129,5332950.39794501,7304815.52700955,8714602.13410197,5934115.18025726,4908698.1029445,9434958.76754864,,,
Bosnia and Herzegovina,BIH,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5194854006222,8.20064754559338,6.10033490599144,3.51265674723528,11.8039337762799,7.52925990970804,10.5243474969792,12.8973013091248,11.0422124679149,9.12823971036376,8.51008660785386,7.92597487124826,6.5929466924512,8.54458675236367,9.47556633862708,11.7203450505224,13.566155787713,15.6244547598122,18.0671970068115,19.1059256505306,16.7859869388927,20.9300269367846,,,
Bosnia and Herzegovina,BIH,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0345739304439825,0.0085499281342664,0.0045978621131935,0.0025209916849834,0.0054017085858878,0.0039995742187006,0.0061470618318651,0.0033135989489056,0.0015823260208326,0.0014119027066832,0.00441211551091,0.0638266504349523,0.0605466750394998,0.0982857981070188,0.0834824940402329,0.0332379555763433,0.0944493469665729,0.158444095753773,0.155764273309197,0.152564703371409,0.096407246182928,0.059541294455848,0.0793803719087164,0.110041584702619,0.0825280534739111,0.0262436872439971,0.0221069193196592,0.0317283202134462,,,
Bosnia and Herzegovina,BIH,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561631.346846039,317290.750530736,377133.286960255,138899.820033214,117891.268408678,86818.327717942,266075.36439256,216525.215244712,374737.5945495,208140.553864505,113281.728382952,125703.860232083,489777.476968485,7461934.4575032,8026372.24842226,15969109.882094,16545396.2441258,6079937.16666289,16487511.5255977,29779090.8541784,27043071.3074888,28103331.8228856,18037931.785159,9718374.41208415,13444082.6046186,19728669.2454791,16560037.1242541,5292817.71042797,4385443.57525502,7305104.57679151,,,
Bosnia and Herzegovina,BIH,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1181417804481968,1.0908044079233854,0.0524431910804428,1.990965755335776,1.192999284015392,1.1370933667417842,0.9905582076805604,0.7275735660295766,0.5408357327099862,0.4586935712462446,0.4630776793862,0.4184788133585417,0.3834730528465893,0.3032049302934329,0.4128092970590782,0.1327540458087036,0.2811064870860968,0.40510384574724,0.266192569004766,0.2040346971117618,0.16743192171033,0.2193516239325636,0.1981775540748286,0.1654196354683182,0.1259578565311564,0.0556671571953047,0.0468515525737873,0.0727072534827254,,,
Bosnia and Herzegovina,BIH,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0808792255077915,0.0658284712015789,0.0422757245454518,1.9828581716416,1.17800241300409,1.13138198547126,0.967524779192814,0.66882013263094,0.521496348528378,0.440804894456803,0.333249031443579,0.275868182462185,0.242753572912287,0.0989455015229611,0.0228527757027923,0.0,0.0,0.0,0.0,5.4947026460034e-05,0.0367915892635576,0.1336939476342,0.087308861362863,0.0146336160270701,0.0,0.0,0.0,0.0,,,
Bosnia and Herzegovina,BIH,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299197.56587503,1518756.99693419,882232.588856901,1069431.53899917,1083968.73739598,68285996.9706352,58025607.3262159,61249701.7264348,58982310.3034805,42011297.9838769,37334915.1368988,39245534.8234198,36993108.9562432,32251579.5896457,32180636.5016311,16076296.032501,4529191.82192386,0.0,0.0,0.0,0.0,10121.571262312,6883758.2617432,21821625.6736272,14786873.8335885,2623569.72814968,0.0,0.0,0.0,0.0,,,
Bosnia and Herzegovina,BIH,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8794016259705,0.91115535993119,-1.79580406545596,-5.37307668119612,2.61590902643934,-1.84031034651383,0.949239103588625,1.18602142113225,0.290436349076573,-2.57888249929441,-4.31338808917582,-6.04861601865613,-9.09063811387266,-7.06449010284019,-7.01690414902923,-4.4215827937203,-2.19426220546721,0.631031001990388,2.90042689443246,3.84214481693517,1.64384915853865,5.83446534441205,,,
Bosnia and Herzegovina,BIH,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297458408.28842,57233353.8840978,-128565027.493472,-478373245.516338,290385262.983351,-215149551.066387,125835917.384241,192700336.786762,57561582.6337588,-471733092.003896,-752964823.143049,-1136819173.37908,-1578274462.56586,-1301321374.68446,-1312872666.67723,-721694035.645583,-371626406.341572,113133611.766456,581998181.54163,774882429.592857,326097346.571075,1343322911.64073,,,
Bosnia and Herzegovina,BIH,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983864040710369,0.846774974307324,0.546831395932124,0.4738187163045,0.343336613238961,0.387296812630239,0.43471395971848,0.460138978384581,0.470312634718272,0.463512096374228,0.420641669902688,0.456872508491087,0.440207797507808,0.478465977017144,0.438622753310436,0.40126869496684,0.419828758769712,0.388607217767896,0.420955572482012,0.41126718554435,0.420115254889577,0.394517727491007,0.392968429932398,0.377735090466396,0.356611758142551,0.383504803891008,0.386221657430023,0.352236203195149,,,
Bosnia and Herzegovina,BIH,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10732013.249008,13756477.2116073,14021004.8246423,16317447.1522654,16911947.955787,20967113.2807723,26501061.4888452,28903190.5467151,33670575.7472096,41267191.7850352,46694338.6417036,53412684.0522509,58356163.1939442,77739367.3245715,86930647.4206813,73400677.3293729,73287235.1297757,73037556.8079448,73084355.7515808,75757877.9875446,78604156.9450495,64393477.216141,66554236.3431321,67721767.9331124,71557533.5319526,77345115.3870472,76616432.2450223,81098598.4370543,,,
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,47.934,46.245,43.685,40.164,40.189,44.303,47.47,48.07,47.126,45.834,43.807,46.94,48.406,47.663,46.152,45.2,43.751,41.244,39.429,37.144,36.686,36.983,37.391,37.474,38.561,39.254,38.72,37.54,38.297,38.445,38.109,36.899,35.93,33.508,31.992,30.394,30.414,33.098,26.987,20.728,17.815,17.69,18.657,18.169,17.938,17.388,16.84,16.709,17.049,17.444,16.27,13.307,12.687,10.94,10.289,10.818,11.3,11.613,11.814,11.354,11.311,11.192,11.089,11.217,
Bosnia and Herzegovina,BIH,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2497501373291,8.6500997543335,10.9109401702881,11.0625801086426,6.69161987304688,6.21962022781372,6.45033979415894,6.24848985671997,6.31429004669189,
Bosnia and Herzegovina,BIH,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08117008209229,9.41886043548584,11.7945804595947,11.8789501190186,7.6362099647522,7.41155004501343,7.57928991317749,7.53591012954712,6.14872980117798,
Bosnia and Herzegovina,BIH,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44702005386353,7.91042995452881,10.0614099502563,10.2764301300049,5.77960014343262,5.06818008422852,5.36125993728638,5.01000022888184,6.47254991531372,
Bosnia and Herzegovina,BIH,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Age dependency ratio (% of working-age population),SP.POP.DPND,71.3267957203035,72.34276713372387,72.75123852476138,72.6827477467816,72.43286246221604,72.0878224925351,71.5519039534896,70.7064882700172,69.45172739063248,67.87867600163129,66.20274179204473,64.5731628288763,63.023992239113255,61.511672836505504,60.02764893192551,58.58800307279248,57.20515737580584,55.870874049600296,54.55817457754817,53.234509933066775,51.90053950657156,50.437879625708014,48.98701115346605,47.8452923593922,47.02799207414352,46.46847843881109,46.07641785326907,45.78066651569196,45.54133354961421,45.35433122491161,45.25152943965223,45.282431693508286,47.31343418579944,50.49888989962843,52.24760037320036,51.76209276545758,49.21107965363665,47.28480515738937,46.21741412575391,45.373333741615696,44.605148852428925,43.98294434346678,43.53144067044368,43.31115797618341,43.40693134523119,43.57492087858938,43.508435103423,43.4597776090615,43.603660497447,43.89354424999648,44.27895574807192,44.64575156627447,44.91814943246746,45.136315329988086,45.47391075999808,46.0547616991884,46.81550553020094,47.71352378326447,48.79812708595187,49.99195238682344,51.071237732770015,51.88255514501105,52.62459079319209,53.52102153486656,
Bosnia and Herzegovina,BIH,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.939561713298762,6.011396744669679,6.0166042419092856,6.065595603349762,6.221574610160824,6.468977828955186,6.760848731402463,7.04625367503043,7.286646835877389,7.503723386098521,7.733363520678404,7.941504298613211,8.103772206112545,8.260437830044829,8.442053601595356,8.649206988403447,8.866732460737506,9.0682313435915,9.222502163990292,9.29580969758788,9.266375053368456,9.105192499491256,8.844804461386419,8.608832402370398,8.480796501341569,8.478154692888522,8.58097634207101,8.744822419876595,8.947137460011941,9.211284181264167,9.553394152850258,9.984188960818472,10.895016353795812,12.17456328343021,13.357810132888265,14.105809706561582,14.175384853514824,14.332076583772022,14.755839248502914,15.29619301337371,15.878658477022334,16.485504001058313,17.118069633278715,17.81277834234604,18.605661907661023,19.364084662537984,19.92715924590889,20.420389505847165,20.89190793752883,21.33250305790096,21.80704521038801,22.35306669717972,23.00040828543021,23.690546434996797,24.401457176168226,25.199580250521365,26.09179406448209,27.08901114524141,28.23596291953525,29.466952106614063,30.580928575451395,31.4058127985666,32.20877857542216,33.22567024729573,
